name,degreein,date
89,0,2019-08-18
229,0,2019-08-18
242,0,2019-08-18
159,0,2019-08-18
188,0,2019-08-18
94,0,2019-08-18
34,0,2019-08-18
207,0,2019-08-18
86,0,2019-08-18
235,0,2019-08-18
270,0,2019-08-18
233,0,2019-08-18
9,0,2019-08-18
153,0,2019-08-18
262,0,2019-08-18
31,0,2019-08-18
1,0,2019-08-18
181,0,2019-08-18
278,0,2019-08-18
69,0,2019-08-18
149,0,2019-08-18
151,0,2019-08-18
154,0,2019-08-18
70,0,2019-08-18
142,0,2019-08-18
161,0,2019-08-18
41,0,2019-08-18
108,0,2019-08-18
31,7,2019-08-25
69,4,2019-08-25
151,4,2019-08-25
242,2,2019-08-25
207,2,2019-08-25
235,2,2019-08-25
233,2,2019-08-25
1,2,2019-08-25
181,2,2019-08-25
278,2,2019-08-25
161,2,2019-08-25
159,1,2019-08-25
188,1,2019-08-25
34,1,2019-08-25
153,1,2019-08-25
149,1,2019-08-25
154,1,2019-08-25
89,0,2019-08-25
229,0,2019-08-25
94,0,2019-08-25
86,0,2019-08-25
270,0,2019-08-25
9,0,2019-08-25
262,0,2019-08-25
70,0,2019-08-25
142,0,2019-08-25
41,0,2019-08-25
108,0,2019-08-25
188,367,2019-09-01
31,356,2019-09-01
9,352,2019-09-01
242,348,2019-09-01
154,337,2019-09-01
70,335,2019-09-01
41,335,2019-09-01
229,329,2019-09-01
233,322,2019-09-01
94,320,2019-09-01
151,317,2019-09-01
108,315,2019-09-01
149,311,2019-09-01
159,308,2019-09-01
1,304,2019-09-01
69,303,2019-09-01
86,299,2019-09-01
235,297,2019-09-01
207,296,2019-09-01
278,286,2019-09-01
270,284,2019-09-01
262,284,2019-09-01
181,283,2019-09-01
89,280,2019-09-01
34,279,2019-09-01
153,267,2019-09-01
161,24,2019-09-01
142,19,2019-09-01
9,331,2019-09-08
154,330,2019-09-08
94,319,2019-09-08
153,314,2019-09-08
188,302,2019-09-08
41,295,2019-09-08
229,293,2019-09-08
70,286,2019-09-08
108,286,2019-09-08
278,283,2019-09-08
1,276,2019-09-08
159,274,2019-09-08
235,274,2019-09-08
31,272,2019-09-08
233,271,2019-09-08
149,237,2019-09-08
270,234,2019-09-08
89,233,2019-09-08
181,231,2019-09-08
69,228,2019-09-08
151,228,2019-09-08
86,226,2019-09-08
262,225,2019-09-08
34,220,2019-09-08
207,219,2019-09-08
242,201,2019-09-08
142,78,2019-09-08
161,51,2019-09-08
188,231,2019-09-15
94,217,2019-09-15
108,214,2019-09-15
159,206,2019-09-15
278,176,2019-09-15
9,174,2019-09-15
41,157,2019-09-15
31,154,2019-09-15
242,149,2019-09-15
233,149,2019-09-15
154,147,2019-09-15
229,144,2019-09-15
70,138,2019-09-15
69,134,2019-09-15
1,131,2019-09-15
149,129,2019-09-15
235,127,2019-09-15
86,126,2019-09-15
89,124,2019-09-15
262,121,2019-09-15
151,120,2019-09-15
153,119,2019-09-15
270,110,2019-09-15
34,106,2019-09-15
207,105,2019-09-15
161,105,2019-09-15
181,101,2019-09-15
142,31,2019-09-15
154,158,2019-09-22
41,150,2019-09-22
9,148,2019-09-22
70,123,2019-09-22
188,110,2019-09-22
229,108,2019-09-22
94,98,2019-09-22
159,91,2019-09-22
108,90,2019-09-22
31,88,2019-09-22
1,87,2019-09-22
233,86,2019-09-22
270,85,2019-09-22
278,84,2019-09-22
149,84,2019-09-22
242,82,2019-09-22
153,79,2019-09-22
89,69,2019-09-22
262,68,2019-09-22
181,68,2019-09-22
235,67,2019-09-22
69,65,2019-09-22
86,63,2019-09-22
151,59,2019-09-22
207,57,2019-09-22
161,55,2019-09-22
34,54,2019-09-22
142,45,2019-09-22
235,367,2019-09-29
188,328,2019-09-29
41,314,2019-09-29
242,310,2019-09-29
153,309,2019-09-29
154,309,2019-09-29
70,288,2019-09-29
31,284,2019-09-29
229,270,2019-09-29
69,268,2019-09-29
108,262,2019-09-29
89,257,2019-09-29
9,257,2019-09-29
159,256,2019-09-29
233,250,2019-09-29
149,250,2019-09-29
1,249,2019-09-29
94,241,2019-09-29
262,232,2019-09-29
181,231,2019-09-29
270,229,2019-09-29
151,225,2019-09-29
86,223,2019-09-29
34,221,2019-09-29
207,216,2019-09-29
278,208,2019-09-29
142,45,2019-09-29
161,23,2019-09-29
235,369,2019-10-06
153,289,2019-10-06
154,226,2019-10-06
41,204,2019-10-06
69,189,2019-10-06
70,177,2019-10-06
31,168,2019-10-06
188,167,2019-10-06
94,166,2019-10-06
108,165,2019-10-06
233,155,2019-10-06
9,155,2019-10-06
270,154,2019-10-06
242,152,2019-10-06
229,149,2019-10-06
149,144,2019-10-06
278,143,2019-10-06
262,137,2019-10-06
1,137,2019-10-06
86,136,2019-10-06
159,134,2019-10-06
89,131,2019-10-06
181,129,2019-10-06
34,128,2019-10-06
151,126,2019-10-06
207,115,2019-10-06
142,26,2019-10-06
161,24,2019-10-06
235,372,2019-10-13
153,261,2019-10-13
89,248,2019-10-13
108,211,2019-10-13
154,176,2019-10-13
188,150,2019-10-13
31,146,2019-10-13
69,142,2019-10-13
41,142,2019-10-13
70,141,2019-10-13
242,136,2019-10-13
229,133,2019-10-13
233,123,2019-10-13
9,121,2019-10-13
94,120,2019-10-13
278,117,2019-10-13
149,113,2019-10-13
1,106,2019-10-13
270,100,2019-10-13
159,95,2019-10-13
151,94,2019-10-13
262,83,2019-10-13
86,80,2019-10-13
34,77,2019-10-13
181,76,2019-10-13
207,68,2019-10-13
142,59,2019-10-13
161,35,2019-10-13
108,252,2019-10-20
235,223,2019-10-20
41,216,2019-10-20
69,199,2019-10-20
153,196,2019-10-20
94,190,2019-10-20
154,186,2019-10-20
229,172,2019-10-20
70,171,2019-10-20
233,168,2019-10-20
9,163,2019-10-20
149,162,2019-10-20
270,158,2019-10-20
159,155,2019-10-20
31,154,2019-10-20
188,153,2019-10-20
151,153,2019-10-20
242,150,2019-10-20
1,147,2019-10-20
262,145,2019-10-20
86,142,2019-10-20
207,141,2019-10-20
181,141,2019-10-20
34,137,2019-10-20
89,136,2019-10-20
278,132,2019-10-20
142,10,2019-10-20
161,10,2019-10-20
94,195,2019-10-27
108,193,2019-10-27
159,163,2019-10-27
154,143,2019-10-27
41,131,2019-10-27
242,124,2019-10-27
1,113,2019-10-27
188,112,2019-10-27
31,112,2019-10-27
69,111,2019-10-27
70,107,2019-10-27
229,106,2019-10-27
207,100,2019-10-27
278,100,2019-10-27
262,97,2019-10-27
270,94,2019-10-27
9,94,2019-10-27
149,93,2019-10-27
181,82,2019-10-27
34,75,2019-10-27
233,75,2019-10-27
153,75,2019-10-27
89,71,2019-10-27
86,71,2019-10-27
151,70,2019-10-27
235,69,2019-10-27
161,25,2019-10-27
142,13,2019-10-27
41,269,2019-11-03
69,254,2019-11-03
154,160,2019-11-03
108,160,2019-11-03
242,155,2019-11-03
159,145,2019-11-03
31,132,2019-11-03
188,129,2019-11-03
278,120,2019-11-03
94,116,2019-11-03
89,107,2019-11-03
70,107,2019-11-03
235,98,2019-11-03
207,97,2019-11-03
270,94,2019-11-03
153,93,2019-11-03
229,81,2019-11-03
9,77,2019-11-03
1,74,2019-11-03
262,73,2019-11-03
149,73,2019-11-03
86,71,2019-11-03
233,71,2019-11-03
181,71,2019-11-03
34,69,2019-11-03
151,68,2019-11-03
142,23,2019-11-03
161,12,2019-11-03
154,393,2019-11-10
108,375,2019-11-10
229,367,2019-11-10
41,353,2019-11-10
9,348,2019-11-10
94,335,2019-11-10
70,248,2019-11-10
235,244,2019-11-10
153,242,2019-11-10
159,229,2019-11-10
34,218,2019-11-10
69,209,2019-11-10
270,203,2019-11-10
181,198,2019-11-10
1,179,2019-11-10
242,171,2019-11-10
233,164,2019-11-10
188,162,2019-11-10
89,155,2019-11-10
149,153,2019-11-10
31,145,2019-11-10
262,130,2019-11-10
278,127,2019-11-10
86,111,2019-11-10
142,103,2019-11-10
151,95,2019-11-10
207,91,2019-11-10
161,71,2019-11-10
108,233,2019-11-17
154,232,2019-11-17
94,224,2019-11-17
41,201,2019-11-17
31,183,2019-11-17
188,174,2019-11-17
70,171,2019-11-17
1,170,2019-11-17
69,166,2019-11-17
153,163,2019-11-17
229,142,2019-11-17
235,141,2019-11-17
149,135,2019-11-17
262,131,2019-11-17
159,130,2019-11-17
181,126,2019-11-17
9,124,2019-11-17
89,123,2019-11-17
242,117,2019-11-17
233,107,2019-11-17
278,103,2019-11-17
142,103,2019-11-17
270,101,2019-11-17
207,98,2019-11-17
34,97,2019-11-17
86,91,2019-11-17
151,89,2019-11-17
161,15,2019-11-17
41,417,2019-11-24
154,401,2019-11-24
108,315,2019-11-24
229,291,2019-11-24
69,271,2019-11-24
70,264,2019-11-24
94,262,2019-11-24
188,218,2019-11-24
9,215,2019-11-24
31,211,2019-11-24
149,184,2019-11-24
181,183,2019-11-24
242,178,2019-11-24
278,178,2019-11-24
262,176,2019-11-24
34,163,2019-11-24
270,163,2019-11-24
1,162,2019-11-24
159,161,2019-11-24
233,156,2019-11-24
153,153,2019-11-24
86,142,2019-11-24
235,126,2019-11-24
151,122,2019-11-24
89,121,2019-11-24
207,119,2019-11-24
142,55,2019-11-24
161,40,2019-11-24
108,407,2019-12-01
41,344,2019-12-01
94,322,2019-12-01
69,292,2019-12-01
154,205,2019-12-01
159,185,2019-12-01
181,185,2019-12-01
34,174,2019-12-01
229,173,2019-12-01
278,144,2019-12-01
70,143,2019-12-01
188,142,2019-12-01
9,141,2019-12-01
153,138,2019-12-01
235,135,2019-12-01
270,135,2019-12-01
242,133,2019-12-01
149,133,2019-12-01
233,129,2019-12-01
31,127,2019-12-01
86,122,2019-12-01
262,120,2019-12-01
1,113,2019-12-01
89,105,2019-12-01
151,76,2019-12-01
207,72,2019-12-01
142,71,2019-12-01
161,39,2019-12-01
108,298,2019-12-08
94,269,2019-12-08
149,205,2019-12-08
41,205,2019-12-08
154,182,2019-12-08
69,171,2019-12-08
270,170,2019-12-08
229,165,2019-12-08
262,155,2019-12-08
235,154,2019-12-08
233,153,2019-12-08
153,145,2019-12-08
9,136,2019-12-08
34,129,2019-12-08
278,127,2019-12-08
242,126,2019-12-08
70,121,2019-12-08
188,118,2019-12-08
31,116,2019-12-08
159,108,2019-12-08
89,95,2019-12-08
1,93,2019-12-08
161,89,2019-12-08
181,86,2019-12-08
142,77,2019-12-08
86,67,2019-12-08
151,61,2019-12-08
207,53,2019-12-08
41,490,2019-12-15
154,478,2019-12-15
181,452,2019-12-15
69,436,2019-12-15
34,425,2019-12-15
108,422,2019-12-15
149,410,2019-12-15
262,408,2019-12-15
70,394,2019-12-15
94,393,2019-12-15
229,385,2019-12-15
9,381,2019-12-15
270,376,2019-12-15
233,345,2019-12-15
159,341,2019-12-15
31,326,2019-12-15
242,324,2019-12-15
235,322,2019-12-15
188,319,2019-12-15
1,319,2019-12-15
278,319,2019-12-15
153,313,2019-12-15
207,290,2019-12-15
89,288,2019-12-15
151,282,2019-12-15
86,274,2019-12-15
142,86,2019-12-15
161,45,2019-12-15
108,308,2019-12-22
149,231,2019-12-22
94,212,2019-12-22
233,204,2019-12-22
154,166,2019-12-22
242,165,2019-12-22
262,157,2019-12-22
70,153,2019-12-22
69,150,2019-12-22
41,148,2019-12-22
159,143,2019-12-22
181,136,2019-12-22
188,135,2019-12-22
151,135,2019-12-22
9,134,2019-12-22
1,133,2019-12-22
229,132,2019-12-22
86,132,2019-12-22
235,132,2019-12-22
31,132,2019-12-22
89,131,2019-12-22
153,131,2019-12-22
207,129,2019-12-22
270,123,2019-12-22
278,123,2019-12-22
34,118,2019-12-22
142,6,2019-12-22
161,0,2019-12-22
108,616,2019-12-29
94,376,2019-12-29
149,240,2019-12-29
262,203,2019-12-29
233,183,2019-12-29
159,133,2019-12-29
154,127,2019-12-29
188,122,2019-12-29
41,120,2019-12-29
70,118,2019-12-29
242,114,2019-12-29
69,112,2019-12-29
31,109,2019-12-29
270,108,2019-12-29
34,106,2019-12-29
278,101,2019-12-29
1,96,2019-12-29
229,94,2019-12-29
207,93,2019-12-29
86,93,2019-12-29
235,93,2019-12-29
9,93,2019-12-29
151,93,2019-12-29
181,90,2019-12-29
89,84,2019-12-29
153,66,2019-12-29
142,34,2019-12-29
161,5,2019-12-29
108,500,2020-01-05
94,413,2020-01-05
154,316,2020-01-05
149,315,2020-01-05
70,305,2020-01-05
69,299,2020-01-05
41,298,2020-01-05
1,297,2020-01-05
153,273,2020-01-05
159,270,2020-01-05
233,266,2020-01-05
181,253,2020-01-05
31,240,2020-01-05
270,235,2020-01-05
235,233,2020-01-05
242,229,2020-01-05
9,228,2020-01-05
262,228,2020-01-05
278,225,2020-01-05
229,218,2020-01-05
86,211,2020-01-05
151,209,2020-01-05
188,207,2020-01-05
89,205,2020-01-05
34,202,2020-01-05
207,189,2020-01-05
142,135,2020-01-05
161,22,2020-01-05
108,395,2020-01-12
94,306,2020-01-12
181,303,2020-01-12
70,297,2020-01-12
154,275,2020-01-12
159,258,2020-01-12
34,258,2020-01-12
41,254,2020-01-12
69,247,2020-01-12
242,233,2020-01-12
233,230,2020-01-12
188,222,2020-01-12
149,215,2020-01-12
235,211,2020-01-12
1,209,2020-01-12
270,203,2020-01-12
31,203,2020-01-12
278,203,2020-01-12
153,201,2020-01-12
89,200,2020-01-12
9,184,2020-01-12
86,179,2020-01-12
229,176,2020-01-12
262,170,2020-01-12
207,168,2020-01-12
151,159,2020-01-12
142,111,2020-01-12
161,18,2020-01-12
108,220,2020-01-19
159,182,2020-01-19
94,181,2020-01-19
69,148,2020-01-19
41,129,2020-01-19
154,114,2020-01-19
34,106,2020-01-19
188,94,2020-01-19
31,94,2020-01-19
142,87,2020-01-19
242,86,2020-01-19
149,86,2020-01-19
70,82,2020-01-19
270,73,2020-01-19
9,73,2020-01-19
229,67,2020-01-19
233,65,2020-01-19
181,62,2020-01-19
262,61,2020-01-19
153,60,2020-01-19
89,56,2020-01-19
207,54,2020-01-19
278,52,2020-01-19
151,49,2020-01-19
235,45,2020-01-19
1,40,2020-01-19
86,36,2020-01-19
161,5,2020-01-19
94,203,2020-01-26
34,183,2020-01-26
153,169,2020-01-26
69,156,2020-01-26
108,146,2020-01-26
41,140,2020-01-26
159,122,2020-01-26
270,119,2020-01-26
207,117,2020-01-26
181,109,2020-01-26
235,102,2020-01-26
278,101,2020-01-26
149,97,2020-01-26
262,81,2020-01-26
89,80,2020-01-26
233,78,2020-01-26
9,77,2020-01-26
154,77,2020-01-26
1,75,2020-01-26
86,73,2020-01-26
70,72,2020-01-26
188,69,2020-01-26
242,63,2020-01-26
31,61,2020-01-26
229,58,2020-01-26
151,54,2020-01-26
142,43,2020-01-26
161,26,2020-01-26
108,264,2020-02-02
94,253,2020-02-02
159,217,2020-02-02
207,175,2020-02-02
9,165,2020-02-02
154,145,2020-02-02
41,140,2020-02-02
233,136,2020-02-02
89,125,2020-02-02
1,119,2020-02-02
70,118,2020-02-02
153,117,2020-02-02
229,116,2020-02-02
34,114,2020-02-02
181,112,2020-02-02
69,107,2020-02-02
270,101,2020-02-02
86,96,2020-02-02
149,96,2020-02-02
188,87,2020-02-02
262,86,2020-02-02
31,78,2020-02-02
235,75,2020-02-02
278,74,2020-02-02
151,71,2020-02-02
242,70,2020-02-02
142,65,2020-02-02
161,57,2020-02-02
108,207,2020-02-09
94,174,2020-02-09
154,151,2020-02-09
70,139,2020-02-09
34,128,2020-02-09
86,110,2020-02-09
207,107,2020-02-09
233,101,2020-02-09
181,98,2020-02-09
159,93,2020-02-09
9,90,2020-02-09
89,84,2020-02-09
41,69,2020-02-09
229,66,2020-02-09
142,61,2020-02-09
270,60,2020-02-09
69,55,2020-02-09
149,52,2020-02-09
1,49,2020-02-09
188,45,2020-02-09
278,44,2020-02-09
242,38,2020-02-09
153,35,2020-02-09
235,33,2020-02-09
262,33,2020-02-09
161,31,2020-02-09
31,26,2020-02-09
151,21,2020-02-09
108,359,2020-02-16
94,315,2020-02-16
154,264,2020-02-16
159,243,2020-02-16
207,242,2020-02-16
89,232,2020-02-16
69,223,2020-02-16
70,203,2020-02-16
41,202,2020-02-16
86,191,2020-02-16
233,190,2020-02-16
270,186,2020-02-16
1,176,2020-02-16
9,174,2020-02-16
153,174,2020-02-16
34,171,2020-02-16
181,170,2020-02-16
229,168,2020-02-16
262,159,2020-02-16
278,154,2020-02-16
242,151,2020-02-16
149,148,2020-02-16
31,143,2020-02-16
235,141,2020-02-16
151,122,2020-02-16
188,118,2020-02-16
161,75,2020-02-16
142,11,2020-02-16
94,318,2020-02-23
108,244,2020-02-23
159,221,2020-02-23
207,184,2020-02-23
41,150,2020-02-23
89,142,2020-02-23
69,139,2020-02-23
154,135,2020-02-23
70,111,2020-02-23
278,110,2020-02-23
153,109,2020-02-23
270,104,2020-02-23
233,104,2020-02-23
229,95,2020-02-23
34,82,2020-02-23
1,82,2020-02-23
9,79,2020-02-23
86,76,2020-02-23
181,73,2020-02-23
161,65,2020-02-23
262,64,2020-02-23
149,57,2020-02-23
235,55,2020-02-23
31,55,2020-02-23
242,47,2020-02-23
188,44,2020-02-23
151,37,2020-02-23
142,26,2020-02-23
159,169,2020-03-01
154,167,2020-03-01
94,138,2020-03-01
278,125,2020-03-01
270,124,2020-03-01
69,121,2020-03-01
207,120,2020-03-01
70,109,2020-03-01
89,97,2020-03-01
34,97,2020-03-01
41,97,2020-03-01
1,95,2020-03-01
161,91,2020-03-01
151,79,2020-03-01
233,72,2020-03-01
262,72,2020-03-01
242,67,2020-03-01
181,65,2020-03-01
149,63,2020-03-01
9,61,2020-03-01
86,59,2020-03-01
108,59,2020-03-01
229,58,2020-03-01
235,21,2020-03-01
188,20,2020-03-01
31,20,2020-03-01
142,18,2020-03-01
153,16,2020-03-01
41,169,2020-03-08
108,144,2020-03-08
94,136,2020-03-08
207,93,2020-03-08
159,91,2020-03-08
233,91,2020-03-08
69,90,2020-03-08
154,83,2020-03-08
153,77,2020-03-08
142,67,2020-03-08
188,59,2020-03-08
181,58,2020-03-08
89,56,2020-03-08
86,53,2020-03-08
34,52,2020-03-08
235,43,2020-03-08
270,39,2020-03-08
1,38,2020-03-08
278,37,2020-03-08
70,36,2020-03-08
262,27,2020-03-08
149,27,2020-03-08
9,26,2020-03-08
242,25,2020-03-08
161,24,2020-03-08
31,21,2020-03-08
151,20,2020-03-08
229,11,2020-03-08
233,510,2020-03-15
181,448,2020-03-15
86,440,2020-03-15
94,431,2020-03-15
34,409,2020-03-15
207,398,2020-03-15
159,388,2020-03-15
41,341,2020-03-15
89,335,2020-03-15
69,304,2020-03-15
154,300,2020-03-15
108,299,2020-03-15
70,287,2020-03-15
188,285,2020-03-15
9,270,2020-03-15
149,269,2020-03-15
151,254,2020-03-15
1,250,2020-03-15
229,247,2020-03-15
270,246,2020-03-15
278,246,2020-03-15
262,242,2020-03-15
242,229,2020-03-15
31,213,2020-03-15
235,208,2020-03-15
153,203,2020-03-15
161,78,2020-03-15
142,16,2020-03-15
181,709,2020-03-22
86,685,2020-03-22
34,652,2020-03-22
207,613,2020-03-22
94,596,2020-03-22
89,562,2020-03-22
41,551,2020-03-22
159,540,2020-03-22
233,482,2020-03-22
154,415,2020-03-22
70,408,2020-03-22
151,405,2020-03-22
270,402,2020-03-22
278,400,2020-03-22
229,395,2020-03-22
108,391,2020-03-22
1,390,2020-03-22
69,386,2020-03-22
262,385,2020-03-22
9,371,2020-03-22
188,356,2020-03-22
235,351,2020-03-22
242,341,2020-03-22
153,337,2020-03-22
149,317,2020-03-22
31,315,2020-03-22
161,54,2020-03-22
142,33,2020-03-22
86,738,2020-03-29
181,685,2020-03-29
34,621,2020-03-29
94,449,2020-03-29
207,426,2020-03-29
159,383,2020-03-29
89,364,2020-03-29
270,338,2020-03-29
9,337,2020-03-29
233,324,2020-03-29
41,321,2020-03-29
1,315,2020-03-29
149,307,2020-03-29
262,305,2020-03-29
278,300,2020-03-29
154,298,2020-03-29
188,297,2020-03-29
70,291,2020-03-29
151,290,2020-03-29
229,287,2020-03-29
108,277,2020-03-29
69,261,2020-03-29
242,259,2020-03-29
235,234,2020-03-29
31,215,2020-03-29
153,209,2020-03-29
161,74,2020-03-29
142,7,2020-03-29
181,624,2020-04-05
34,605,2020-04-05
86,535,2020-04-05
229,468,2020-04-05
9,449,2020-04-05
159,425,2020-04-05
151,360,2020-04-05
94,347,2020-04-05
278,344,2020-04-05
1,332,2020-04-05
270,330,2020-04-05
262,329,2020-04-05
89,309,2020-04-05
41,306,2020-04-05
154,299,2020-04-05
70,289,2020-04-05
207,287,2020-04-05
69,279,2020-04-05
149,266,2020-04-05
188,264,2020-04-05
233,239,2020-04-05
31,232,2020-04-05
108,215,2020-04-05
235,196,2020-04-05
153,191,2020-04-05
242,187,2020-04-05
161,44,2020-04-05
142,26,2020-04-05
181,310,2020-04-12
86,290,2020-04-12
34,248,2020-04-12
151,223,2020-04-12
278,181,2020-04-12
1,166,2020-04-12
270,160,2020-04-12
229,157,2020-04-12
9,147,2020-04-12
207,144,2020-04-12
94,136,2020-04-12
154,136,2020-04-12
41,132,2020-04-12
159,128,2020-04-12
70,125,2020-04-12
89,124,2020-04-12
69,91,2020-04-12
233,82,2020-04-12
188,74,2020-04-12
108,72,2020-04-12
262,71,2020-04-12
149,66,2020-04-12
242,50,2020-04-12
161,40,2020-04-12
235,36,2020-04-12
153,36,2020-04-12
31,31,2020-04-12
142,0,2020-04-12
181,479,2020-04-19
86,453,2020-04-19
34,436,2020-04-19
94,349,2020-04-19
207,347,2020-04-19
1,326,2020-04-19
278,319,2020-04-19
270,310,2020-04-19
159,286,2020-04-19
89,264,2020-04-19
41,244,2020-04-19
151,230,2020-04-19
154,228,2020-04-19
69,211,2020-04-19
70,196,2020-04-19
229,193,2020-04-19
108,153,2020-04-19
188,148,2020-04-19
233,144,2020-04-19
9,125,2020-04-19
235,103,2020-04-19
262,94,2020-04-19
31,94,2020-04-19
149,93,2020-04-19
242,91,2020-04-19
153,87,2020-04-19
142,35,2020-04-19
161,18,2020-04-19
86,673,2020-04-26
181,660,2020-04-26
34,540,2020-04-26
207,369,2020-04-26
89,316,2020-04-26
70,301,2020-04-26
159,297,2020-04-26
94,291,2020-04-26
154,265,2020-04-26
41,234,2020-04-26
1,204,2020-04-26
270,200,2020-04-26
278,200,2020-04-26
69,188,2020-04-26
233,176,2020-04-26
188,160,2020-04-26
9,148,2020-04-26
142,135,2020-04-26
262,133,2020-04-26
108,129,2020-04-26
151,118,2020-04-26
229,104,2020-04-26
149,93,2020-04-26
153,89,2020-04-26
31,88,2020-04-26
242,80,2020-04-26
235,80,2020-04-26
161,14,2020-04-26
86,599,2020-05-03
181,554,2020-05-03
34,525,2020-05-03
41,435,2020-05-03
270,371,2020-05-03
94,351,2020-05-03
159,348,2020-05-03
278,337,2020-05-03
69,321,2020-05-03
207,292,2020-05-03
1,287,2020-05-03
9,286,2020-05-03
188,278,2020-05-03
233,257,2020-05-03
108,247,2020-05-03
154,246,2020-05-03
31,228,2020-05-03
89,227,2020-05-03
262,216,2020-05-03
70,210,2020-05-03
151,205,2020-05-03
242,182,2020-05-03
235,177,2020-05-03
229,172,2020-05-03
149,160,2020-05-03
153,129,2020-05-03
142,75,2020-05-03
161,5,2020-05-03
86,476,2020-05-10
181,453,2020-05-10
41,410,2020-05-10
34,351,2020-05-10
94,276,2020-05-10
1,250,2020-05-10
278,242,2020-05-10
270,238,2020-05-10
69,237,2020-05-10
108,224,2020-05-10
207,221,2020-05-10
159,217,2020-05-10
233,216,2020-05-10
89,198,2020-05-10
154,178,2020-05-10
70,174,2020-05-10
9,172,2020-05-10
188,163,2020-05-10
151,156,2020-05-10
235,148,2020-05-10
31,135,2020-05-10
242,133,2020-05-10
229,132,2020-05-10
262,126,2020-05-10
153,123,2020-05-10
149,123,2020-05-10
142,53,2020-05-10
161,40,2020-05-10
181,529,2020-05-17
86,496,2020-05-17
34,383,2020-05-17
94,378,2020-05-17
108,299,2020-05-17
207,274,2020-05-17
159,269,2020-05-17
41,239,2020-05-17
89,234,2020-05-17
154,203,2020-05-17
70,179,2020-05-17
1,162,2020-05-17
9,159,2020-05-17
278,154,2020-05-17
270,135,2020-05-17
69,135,2020-05-17
262,118,2020-05-17
151,116,2020-05-17
188,115,2020-05-17
233,114,2020-05-17
31,102,2020-05-17
229,99,2020-05-17
149,97,2020-05-17
235,86,2020-05-17
153,85,2020-05-17
242,71,2020-05-17
142,45,2020-05-17
161,0,2020-05-17
181,890,2020-05-24
86,852,2020-05-24
34,612,2020-05-24
94,530,2020-05-24
41,474,2020-05-24
207,462,2020-05-24
159,457,2020-05-24
69,407,2020-05-24
89,348,2020-05-24
154,347,2020-05-24
108,307,2020-05-24
70,282,2020-05-24
233,247,2020-05-24
278,239,2020-05-24
1,233,2020-05-24
188,229,2020-05-24
270,216,2020-05-24
149,198,2020-05-24
9,193,2020-05-24
262,155,2020-05-24
153,145,2020-05-24
229,144,2020-05-24
31,137,2020-05-24
151,136,2020-05-24
235,135,2020-05-24
242,111,2020-05-24
142,43,2020-05-24
161,1,2020-05-24
181,289,2020-05-31
159,288,2020-05-31
86,273,2020-05-31
34,253,2020-05-31
94,241,2020-05-31
207,237,2020-05-31
154,215,2020-05-31
